Author,Year,Title,Journal,Abstract,article_id,keywords,Terrestrial/Aquatic,Ecosystem,Location,Study Type,Organism,Mechanism of Shift,Stressor Category,Specific Stressor,Measure,Tissue Type,Lipid Correction,TDF,Baselines,Result (Direction),Result description,Where result appears in paper,Model,P-value,R-squared
"Saporiti, Fabiana and Bearhop, Stuart and Silva, Laura and Vales, Damián G and Zenteno, Lisette and Crespo, Enrique A and Aguilar, Alex and Cardona, Luis",2014,Longer and less overlapping food webs in anthropogenically disturbed marine ecosystems: confirmations from the past.,PloS one,"The human exploitation of marine resources is characterised by the preferential removal of the largest species. Although this is expected to modify the structure of food webs, we have a relatively poor understanding of the potential consequences of such alteration. Here, we take advantage of a collection of ancient consumer tissues, using stable isotope analysis and SIBER to assess changes in the structure of coastal marine food webs in the South-western Atlantic through the second half of the Holocene as a result of the sequential exploitation of marine resources by hunter-gatherers, western sealers and modern fishermen. Samples were collected from shell middens and museums. Shells of both modern and archaeological intertidal herbivorous molluscs were used to reconstruct changes in the stable isotopic baseline, while modern and archaeological bones of the South American sea lion Otaria flavescens, South American fur seal Arctocephalus australis and Magellanic penguin Spheniscus magellanicus were used to analyse changes in the structure of the community of top predators. We found that ancient food webs were shorter, more redundant and more overlapping than current ones, both in northern-central Patagonia and southern Patagonia. These surprising results may be best explained by the huge impact of western sealing on pinnipeds during the fur trade period, rather than the impact of fishing on fish populations. As a consequence, the populations of pinnipeds at the end of the sealing period were likely well below the ecosystem's carrying capacity, which resulted in a release of intraspecific competition and a shift towards larger and higher trophic level prey. This in turn led to longer and less overlapping food webs.",PONE-D-14-18942 [pii] and 10.1371/journal.pone.0103132 [doi],NA,,,,,,,,,,,,,,,,,,,
"Glaz, Patricia and Sirois, Pascal and Archambault, Philippe and Nozais, Christian",2014,Impact of forest harvesting on trophic structure of eastern Canadian Boreal Shield lakes: insights from stable isotope analyses.,PloS one,"Perturbations on ecosystems can have profound immediate effects and can, accordingly, greatly alter the natural community. Land-use such as forestry activities in the Canadian Boreal region have increased in the last decades, raising concerns about their potential impact on aquatic ecosystems. The objective of this study was to evaluate the impact of forest harvesting on trophic structure in eastern Canadian Boreal Shield lakes. We measured carbon and nitrogen stable isotopes values for aquatic primary producers, terrestrial detritus, benthic macroinvertebrates, zooplankton and brook trout (Salvelinus fontinalis) over a three-year period in eight eastern Boreal Shield lakes. Four lakes were studied before, one and two years after forest harvesting (perturbed lakes) and compared with four undisturbed reference lakes (unperturbed lakes) sampled at the same time. Stable isotope mixing models showed leaf-litter to be the main food source for benthic primary consumers in both perturbed and unperturbed lakes, suggesting no logging impact on allochthonous subsidies to the littoral food web. Brook trout derived their food mainly from benthic predatory macroinvertebrates in unperturbed lakes. However, in perturbed lakes one year after harvesting, zooplankton appeared to be the main contributor to brook trout diet. This change in brook trout diet was mitigated two years after harvesting. Size-related diet shift were also observed for brook trout, indicating a diet shift related to size. Our study suggests that carbon from terrestrial habitat may be a significant contribution to the food web of oligotrophic Canadian Boreal Shield lakes. Forest harvesting did not have an impact on the diet of benthic primary consumers. On the other hand, brook trout diet composition was affected by logging with greater zooplankton contribution in perturbed lakes, possibly induced by darker-colored environment in these lakes one year after logging.",PONE-D-13-42036 [pii] and 10.1371/journal.pone.0096143 [doi],NA,,,,,,,,,,,,,,,,,,,
"Walters, Andrea and Lea, Mary-Anne and van den Hoff, John and Field, Iain C and Virtue, Patti and Sokolov, Sergei and Pinkerton, Matt H and Hindell, Mark A",2014,Spatially explicit estimates of prey consumption reveal a new krill predator in the Southern Ocean.,PloS one,"Development in foraging behaviour and dietary intake of many vertebrates are age-structured. Differences in feeding ecology may correlate with ontogenetic shifts in dispersal patterns, and therefore affect foraging habitat and resource utilization. Such life-history traits have important implications in interpreting tropho-dynamic linkages. Stable isotope ratios in the whiskers of sub-yearling southern elephant seals (Mirounga leonina; n = 12) were used, in conjunction with satellite telemetry and environmental data, to examine their foraging habitat and diet during their first foraging migration. The trophic position of seals from Macquarie Island (54°30'S, 158°57'E) was estimated using stable carbon (δ(1) (3)C) and nitrogen (δ(15)N) ratios along the length of the whisker, which provided a temporal record of prey intake. Satellite-relayed data loggers provided details on seal movement patterns, which were related to isotopic concentrations along the whisker. Animals fed in waters south of the Polar Front (>60°S) or within Commission for the Conservation of Antarctic Marine Living Resources (CCAMLR) Statistical Subareas 88.1 and 88.2, as indicated by both their depleted δ(1) (3)C (<-20‰) values, and tracking data. They predominantly exploited varying proportions of mesopelagic fish and squid, and crustaceans, such as euphausiids, which have not been reported as a prey item for this species. Comparison of isotopic data between sub-yearlings, and 1, 2 and 3 yr olds indicated that sub-yearlings, limited by their size, dive capabilities and prey capture skills to feeding higher in the water column, fed at a lower trophic level than older seals. This is consistent with the consumption of euphausiids and most probably, Antarctic krill (Euphausia superba), which constitute an abundant, easily accessible source of prey in water masses used by this age class of seals. Isotopic assessment and concurrent tracking of seals are successfully used here to identify ontogenetic shifts in broad-scale foraging habitat use and diet preferences in a highly migratory predator.",PONE-D-12-13075 [pii] and 10.1371/journal.pone.0086452 [doi],NA,,,,,,,,,,,,,,,,,,,
"Seamster, Virginia A and Waits, Lisette P and Macko, Stephen A and Shugart, Herman H",2014,Coyote (Canis latrans) mammalian prey diet shifts in response to seasonal vegetation change.,Isotopes in environmental and health studies,"Drylands typically have strong seasonal variation in rainfall and primary productivity. This study examines the effects of seasonal change in grass-derived resource availability on the base of the food chain of a mammalian predator. Seasonal changes in live grass cover were measured in two vegetation types at the Sevilleta National Wildlife Refuge in central New Mexico, USA. Non-invasive genetic sampling of scat was used to identify individuals in the local coyote (Canis latrans) population. Stable carbon and nitrogen isotope analysis of hair removed from scats of 45 different coyotes was used to assess seasonal variation in the diet of mammalian coyote prey that came from C4 grasses. Live grass cover increased from the spring to the summer and fall; contribution of C4 grasses to the diet of mammalian coyote prey increased from the summer to the fall and was higher in grassland areas. There were significant differences in the seasonal patterns in the prey diet between grassland and shrubland areas.",10.1080/10256016.2014.930037 [doi],arid ecosystem and carbon-13 and coyote prey and food chain and isotope ecology and microsatellite; nitrogen-15 and seasonality,,,,,,,,,,,,,,,,,,,
"Burri, Susanne and Sturm, Patrick and Baur, Thomas and Barthel, Matti and Knohl, Alexander and Buchmann, Nina",2014,The effect of physical back-diffusion of 13CO2 tracer on the coupling between photosynthesis and soil CO2 efflux in grassland.,Isotopes in environmental and health studies,"Pulse labelling experiments provide a common tool to study short-term processes in the plant-soil system and investigate below-ground carbon allocation as well as the coupling of soil CO(2) efflux to photosynthesis. During the first hours after pulse labelling, the measured isotopic signal of soil CO(2) efflux is a combination of both physical tracer diffusion into and out of the soil as well as biological tracer release via root and microbial respiration. Neglecting physical back-diffusion can lead to misinterpretation regarding time lags between photosynthesis and soil CO(2) efflux in grassland or any ecosystem type where the above-ground plant parts cannot be labelled in gas-tight chambers separated from the soil. We studied the effects of physical (13)CO(2) tracer back-diffusion in pulse labelling experiments in grassland, focusing on the isotopic signature of soil CO(2) efflux. Having accounted for back-diffusion, the estimated time lag for first tracer appearance in soil CO(2) efflux changed from 0 to 1.81±0.56 h (mean±SD) and the time lag for maximum tracer appearance from 2.67±0.39 to 9.63±3.32 h (mean±SD). Thus, time lags were considerably longer when physical tracer diffusion was considered. Using these time lags after accounting for physical back-diffusion, high nocturnal soil CO(2) efflux rates could be related to daytime rates of gross primary productivity (R(2)=0.84). Moreover, pronounced diurnal patterns in the δ(13)C of soil CO(2) efflux were found during the decline of the tracer over 3 weeks. Possible mechanisms include diurnal changes in the relative contributions of autotrophic and heterotrophic soil respiration as well as their respective δ(13)C values. Thus, after accounting for physical back-diffusion, we were able to quantify biological time lags in the coupling of photosynthesis and soil CO(2) efflux in grassland at the diurnal time scale.",10.1080/10256016.2014.893237 [doi],13CO2 and carbon allocation and carbon-13 and grassland ecosystem and laser spectroscopy and plant–soil interactions and pulse labelling and soil respiration and stable isotope tracer techniques and time lag,,,,,,,,,,,,,,,,,,,
"Sheng, Wenping and Yu, Guirui and Fang, Huajun and Jiang, Chunming and Yan, Junhua and Zhou, Mei",2014,Sinks for inorganic nitrogen deposition in forest ecosystems with low and high nitrogen deposition in China.,PloS one,"We added the stable isotope (15)N in the form of ((15)NH4)2SO4 and K(15)NO3 to forest ecosystems in eastern China under two different N deposition levels to study the fate of the different forms of deposited N. Prior to the addition of the (15)N tracers, the natural (15)N abundance ranging from -3.4‰ to +10.9‰ in the forest under heavy N deposition at Dinghushan (DHS), and from -3.92‰ to +7.25‰ in the forest under light N deposition at Daxinganling (DXAL). Four months after the tracer application, the total (15)N recovery from the major ecosystem compartments ranged from 55.3% to 90.5%. The total (15)N recoveries were similar under the ((15)NH4)2SO4 tracer treatment in both two forest ecosystems, whereas the total (15)N recovery was significantly lower in the subtropical forest ecosystem at DHS than in the boreal forest ecosystem at DXAL under the K(15)NO3 tracer treatment. The (15)N assimilated into the tree biomass represented only 8.8% to 33.7% of the (15)N added to the forest ecosystems. In both of the tracer application treatments, more (15)N was recovered from the tree biomass in the subtropical forest ecosystem at DHS than the boreal forest ecosystem at DXAL. The amount of (15)N assimilated into tree biomass was greater under the K(15)NO3 tracer treatment than that of the ((15)NH4)2SO4 treatment in both forest ecosystems. This study suggests that, although less N was immobilized in the forest ecosystems under more intensive N deposition conditions, forest ecosystems in China strongly retain N deposition, even in areas under heavy N deposition intensity or in ecosystems undergoing spring freezing and thawing melts. Compared to ammonium deposition, deposited nitrate is released from the forest ecosystem more easily. However, nitrate deposition could be retained mostly in the plant N pool, which might lead to more C sequestration in these ecosystems.",PONE-D-13-41256 [pii] and 10.1371/journal.pone.0089322 [doi],NA,,,,,,,,,,,,,,,,,,,
"Panzer, Stephanie and Peschel, Oliver and Haas-Gebhard, Brigitte and Bachmeier, Beatrice E and Pusch, Carsten M and Nerlich, Andreas G",2014,Reconstructing the life of an unknown (ca. 500 years-old South American Inca) mummy--multidisciplinary study of a Peruvian Inca mummy suggests severe Chagas disease and ritual homicide.,PloS one,"The paleopathological, paleoradiological, histological, molecular and forensic investigation of a female mummy (radiocarbon dated 1451-1642 AD) provides circumstantial evidence for massive skull trauma affecting a young adult female individual shortly before death along with chronic infection by Trypanosoma cruzi (Chagas disease). The mummy (initially assumed to be a German bog body) was localized by stable isotope analysis to South America at/near the Peruvian/Northern Chilean coast line. This is further supported by New World camelid fibers attached to her plaits, typical Inca-type skull deformation and the type of Wormian bone at her occiput. Despite an only small transverse wound of the supraorbital region computed tomography scans show an almost complete destruction of face and frontal skull bones with terrace-like margins, but without evidence for tissue reaction. The type of destruction indicates massive blunt force applied to the center of the face. Stable isotope analysis indicates South American origin: Nitrogen and hydrogen isotope patterns indicate an extraordinarily high marine diet along with C4-plant alimentation which fits best to the coastal area of Pacific South America. A hair strand over the last ten months of her life indicates a shift to a more ""terrestric"" nutrition pattern suggesting either a move from the coast or a change in her nutrition. Paleoradiology further shows extensive hypertrophy of the heart muscle and a distended large bowel/rectum. Histologically, in the rectum wall massive fibrosis alternates with residual smooth muscle. The latter contains multiple inclusions of small intracellular parasites as confirmed by immunohistochemical and molecular ancient DNA analysis to represent a chronic Trypanosoma cruzi infection. This case shows a unique paleopathological setting with massive blunt force trauma to the skull nurturing the hypothesis of a ritual homicide as previously described in South American mummies in an individual that suffered from severe chronic Chagas disease.",PONE-D-13-50531 [pii] and 10.1371/journal.pone.0089528 [doi],NA,,,,,,,,,,,,,,,,,,,
Tyler D. Tunney and Kevin S. McCann and Nigel P. Lester and Brian J. Shuter,2014,Effects of differential habitat warming on complex communities,"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF
   AMERICA","Food webs unfold across a mosaic of micro and macro habitats, with each
   habitat coupled by mobile consumers that behave in response to local
   environmental conditions. Despite this fundamental characteristic of
   nature, research on how climate change will affect whole ecosystems has
   overlooked (i) that climate warming will generally affect habitats
   differently and (ii) that mobile consumers may respond to this
   differential change in a manner that may fundamentally alter the energy
   pathways that sustain ecosystems. This reasoning suggests a powerful,
   but largely unexplored, avenue for studying the impacts of climate
   change on ecosystem functioning. Here, we use lake ecosystems to show
   that predictable behavioral adjustments to local temperature
   differentials govern a fundamental structural shift across 54 food webs.
   Data show that the trophic pathways from basal resources to a
   cold-adapted predator shift toward greater reliance on a cold-water
   refuge habitat, and food chain length increases, as air temperatures
   rise. Notably, cold-adapted predator behavior may substantially drive
   this decoupling effect across the climatic range in our study
   independent of warmer-adapted species responses (for example, changes in
   near-shore species abundance and predator absence). Such modifications
   reflect a flexible food web architecture that requires more attention
   from climate change research. The trophic pathway restructuring
   documented here is expected to alter biomass accumulation, through the
   regulation of energy fluxes to predators, and thus potentially threatens
   ecosystem sustainability in times of rapid environmental change.",10.1073/pnas.1319618111,"species interactions; thermoregulation; trophic structure; habitat
   coupling; heterogeneity",,,,,,,,,,,,,,,,,,,
Michelle J. Greenwood,2014,"More than a barrier: The complex effects of ecotone vegetation type on
   terrestrial consumer consumption of an aquatic prey resource",AUSTRAL ECOLOGY,"Community structure and dynamics can be influenced by resource transfers
   between ecosystems, yet little is known about how boundary structure
   determines both the magnitude of exchanges and their effects on
   recipient and donor communities. Aquatic and terrestrial ecosystems are
   often linked by resource fluxes and riparian vegetation is commonly
   affected by anthropogenic alterations to land use or river hydrological
   regime. I investigated whether shrubs at the freshwater-terrestrial
   interface alter the supply, distribution and importance of aquatic prey
   resources to terrestrial consumers. Shrubs were predicted to alter the
   larval community composition of aquatic insects and the emergence of
   winged adults, thus affecting aquatic prey subsidies to terrestrial
   consumers. In addition, shrubs were hypothesized to alter the
   microclimatic suitability of the riparian zone for adult aquatic
   insects, act as a physical barrier to their dispersal and affect
   terrestrial community composition, particularly the abundance and type
   of predators that could benefit from the aquatic prey resource. Stable
   isotope dietary analyses and a survey of shrub-dominated and open
   grassland riparian habitats revealed that larval densities of aquatic
   insects (EPTM: Ephemeroptera, Plecoptera, Trichoptera and Megaloptera)
   were higher in shrub than grassland habitats; however, reduced emergence
   and lateral dispersal in shrub areas led to lower densities of adults.
   The temperature and relative humidity of the riparian zone did not
   differ between the habitats. Ground-active terrestrial invertebrate
   communities had a higher proportion of cursorial spiders in grassland,
   coinciding with greater abundances of aquatic prey. Aquatic prey
   contribution to cursorial spider diet matched adult aquatic insect
   abundances. Overall, riparian shrubs reduced the magnitude, or at least
   altered the timing, of cross-ecosystem subsidy supply, distribution and
   use by consumers through mechanisms operating in both the aquatic and
   terrestrial ecosystems. Thus, the structure of ecosystem boundaries has
   complex effects on the strength of biological interactions between
   adjacent systems.",10.1111/aec.12159,"adult aquatic insect; cross-ecosystem subsidy; New Zealand; riparian;
   riverine",,,,,,,,,,,,,,,,,,,
Caroline H. Fox and Rana El-Sabaawi and Paul C. Paquet and Thomas E. Reimchen,2014,"Pacific herring <i>Clupea pallasii</i> and wrack macrophytes subsidize
   semi- terrestrial detritivores",MARINE ECOLOGY PROGRESS SERIES,"The bi-directional movements of materials, nutrients and energy across
   the land-sea interface result in a number of ecological consequences.
   Migratory animals that move across ecosystems drive a number of these
   spatial subsidies (e.g. anadromous salmon), but many of the world's
   animal migrations are in decline. The cross-ecosystem reach of Pacific
   herring Clupea pallasii, a migratory, iteroparous forage fish that
   spawns along the coastlines of the North Pacific Ocean, has never been
   studied. Spawn events represent large aggregations of biomass and
   energy, a portion of which is transferred to intertidal and supratidal
   zones. Using fatty acids and stable isotopic signatures of carbon and
   nitrogen, we (1) traced the sources of production and (2) tested the
   hypothesis that herring subsidizes detritivorous, semi-terrestrial
   amphipods (Talitridae: Traskorchestia spp.), which are often abundant in
   intertidal and supratidal zones. Amphipods and likely dietary items
   (macrophytes and herring eggs) were collected from 5 beaches before and
   after herring spawned in Quatsino Sound, British Columbia. Combined with
   the use of mixing models, stable isotopes suggest that herring, in
   addition to brown algae and seagrass, were major sources of production
   during the study period. Fatty acid results suggest that brown algae is
   generally a major dietary resource for amphipods, but herring eggs
   provide important omega-3 fatty acids that are low in abundance prior to
   herring spawn events. Taken together, we provide corroborative evidence
   of a previously unknown cross-ecosystem spatial subsidy by Pacific
   herring. Further, because amphipods are prey for several terrestrial
   consumers, we also identify previously unknown marine-terrestrial
   linkages.",10.3354/meps10588,"Pacific herring; Spatial subsidy; Wrack; Amphipoda; Detritivores; Fatty
   acids; Stable isotope",,,,,,,,,,,,,,,,,,,
Christoph Digel and Alva Curtsdotter and Jens Riede and Bernhard Klarner and Ulrich Brose,2014,"Unravelling the complex structure of forest soil food webs: higher
   omnivory and more trophic levels",OIKOS,"Food web topologies depict the community structure as distributions of
   feeding interactions across populations. Although the soil ecosystem
   provides important functions for aboveground ecosystems, data on complex
   soil food webs is notoriously scarce, most likely due to the difficulty
   of sampling and characterizing the system. To fill this gap we assembled
   the complex food webs of 48 forest soil communities. The food webs
   comprise 89 to 168 taxa and 729 to 3344 feeding interactions. The
   feeding links were established by combining several molecular methods
   (stable isotope, fatty acid and molecular gut content analyses) with
   feeding trials and literature data. First, we addressed whether soil
   food webs (n = 48) differ significantly from those of other ecosystem
   types (aquatic and terrestrial aboveground, n = 77) by comparing 22 food
   web parameters. We found that our soil food webs are characterized by
   many omnivorous and cannibalistic species, more trophic chains and
   intraguild-predation motifs than other food webs and high average and
   maximum trophic levels. Despite this, we also found that soil food webs
   have a similar connectance as other ecosystems, but interestingly a
   higher link density and clustering coefficient. These differences in
   network structure to other ecosystem types may be a result of ecosystem
   specific constraints on hunting and feeding characteristics of the
   species that emerge as network parameters at the food-web level. In a
   second analysis of land-use effects, we found significant but only small
   differences of soil food web structure between different beech and
   coniferous forest types, which may be explained by generally strong
   selection effects of the soil that are independent of human land use.
   Overall, our study has unravelled some systematic structures of soil
   food-webs, which extends our mechanistic understanding how environmental
   characteristics of the soil ecosystem determine patterns at the
   community level.",10.1111/oik.00865,NA,,,,,,,,,,,,,,,,,,,
Lori A. Davias and Matthew S. Kornis and Denise L. Breitburg,2014,"Environmental factors influencing <SUP>13</SUP>C and <SUP>15</SUP>N in
   three Chesapeake Bay fishes",ICES JOURNAL OF MARINE SCIENCE,"Stable isotope analysis has become a common tool for mapping trophic
   relationships, describing foodweb changes, and assessing ecosystem
   health. Clear interpretation of stable isotopes is facilitated by
   understanding how environmental factors can affect isotopic values; in
   estuarine systems, these factors may include salinity, land use, and
   shoreline habitat. To evaluate these factors, fish were collected from
   shallow-water habitats next to hardened (bulkhead and riprap) and
   unhardened (beach and marsh) shorelines within five subestuaries of the
   Chesapeake Bay that differed in predominant land use and salinity. This
   study focused on three common mid-Atlantic fish species: mummichog,
   Fundulus heteroclitus, Atlantic silverside, Menidia menidia, and white
   perch, Morone americana. Multiple regression analyses pointed to
   standard length, salinity, of watershed as developed or crop land, and
   shoreline habitat type as important predictors for N-15 in all three
   species and for C-13 in mummichog and white perch. Further analysis
   controlling for the effects of salinity, land use, and fish size
   demonstrated that C-13 and N-15 were lower in tissues of fish collected
   next to marsh compared with hardened or beach habitat. Habitat effects
   were strongest for mummichog. This study focused on overarching patterns
   driving stable isotope signatures in fish; however, it also indicated
   potentially important interactions between nearshore habitat type and
   land use or salinity that deserve further analysis. Results have
   implications for the scale of isotope inquiry and give justification for
   more detailed follow-up studies of foodweb structure along modified and
   natural shorelines.",10.1093/icesjms/fst143,"Chesapeake Bay; estuarine foodwebs; fish; habitat; land use; shoreline
   development; stable isotopes",,,,,,,,,,,,,,,,,,,
Ken Hiramatsu and Koyo Yonebayashi and Eiji Ichion and Shinichi Nishimura and Takeo Onishi,2014,"Food web structure in an agricultural drainage channel through an
   urbanized zone in Japan",PADDY AND WATER ENVIRONMENT,"Channels and streams flowing through urbanized areas are often modified
   by lining the channel bed with concrete to prevent flooding caused by
   land-use changes in the catchment area. Even when eco-friendly works,
   such as fish pools and fish habitat blocks, are incorporated into the
   modification to accommodate aquatic ecosystems, there will be impacts on
   the food web and, consequently, the amount of food available for fish.
   In this study, the food web structure of the Ooe drainage channel, a
   small concrete-lined stream through an urban area, was investigated
   using stable isotope ratios of carbon and nitrogen. We compared the
   characteristics of the Ooe channel to those of several other aquatic
   systems. We found a single trophic transfer line, from particulate
   organic matter (POM) to benthic fish (Rhinogobius sp.) and crustaceans
   (Palaemon paucidens) via swimming fish (Squalidus chankaensis and
   Pseudorasbora. parva). However, the highest trophic level (benthic fish)
   was only 2.6-2.8 because few planktonic arthropods occurred in the web
   between POM and fish, unlike in more natural bodies of water. In
   addition, neither terrestrial plants nor periphyton were major sources
   of POM. Instead, organic matter from domestic wastewater appeared to be
   the major source of POM in the Ooe channel. Thus, the food web structure
   of this concrete-lined stream flowing through an urbanized zone proved
   to be strongly affected by its non-natural surroundings and extremely
   vulnerable to changes in those surroundings.",10.1007/s10333-013-0365-3,"Carbon; Concrete lining; Drainage channel; Nitrogen; Stable isotope;
   Trophic level",,,,,,,,,,,,,,,,,,,
Bernhard Klarner and Roswitha B. Ehnes and Georgia Erdmann and Bernhard Eitzinger and Melanie M. Pollierer and Mark Maraun and Stefan Scheu,2014,"Trophic shift of soil animal species with forest type as indicated by
   stable isotope analysis",OIKOS,"Anthropogenic land use shapes the dynamics and composition of central
   European forests and changes the quality and availability of resources
   of the decomposer system. These changes likely alter the structure and
   functioning of soil animal food webs. Using stable isotope analysis
   (C-13, N-15) we investigated the trophic position and resource use of
   soil animal species in each of four forest types (coniferous, young
   managed beech, old managed beech and unmanaged beech forests) across
   three regions in Germany. Twenty-eight species of soil invertebrates
   were analyzed covering three consumer levels and a representative
   spectrum of feeding types and morphologies. Data on stable isotope
   signatures of leaf litter, fine roots and soil were included to evaluate
   to which extent signatures of soil animals vary with those of local
   resources. Soil animal N-15 and C-13 signatures varied with the
   respective signatures of leaf litter and fine roots. After calibration
   to leaf litter signatures, soil animal stable isotope signatures of the
   different beech forests did not differ significantly. However, thick
   leaf litter layers, such as those in coniferous forests, were associated
   with low animal stable isotope signatures presumably due to reduced
   access of decomposer animals to root-derived resources, suggesting that
   the decomposer food web is shifted towards leaf litter based energy
   pathways with the shift affecting all consumer levels. Variation in
   stable isotope signatures of soil animal species with litter quality
   parameters suggests that nutrition of third level but not first and
   second level consumers is related to litter quality, potentially due to
   microorganisms locking up litter resources thereby hampering their
   propagation to higher trophic levels.",10.1111/j.1600-0706.2013.00939.x,NA,,,,,,,,,,,,,,,,,,,
Carolyn J. Foley and Gabriel J. Bowen and Thomas F. Nalepa and Marisol S. Sepulveda and Tomas O. Hoeoek,2014,"Stable isotope patterns of benthic organisms from the Great Lakes region
   indicate variable dietary overlap of Diporeia spp. and dreissenid
   mussels",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,"Competition between native and invasive species may bring about a suite
   of ecological and evolutionary outcomes, including local extirpations.
   In the Laurentian Great Lakes, competition for food may explain the
   dramatic decline of Diporeia spp. amphipods following the introduction
   of dreissenid mussels. This hypothesis has not been confirmed, in part
   because dreissenids and Diporeia appear to co-exist and flourish in
   other systems, including the Finger Lakes of New York. We used carbon,
   nitrogen, hydrogen, and oxygen stable isotope ratios to examine resource
   use by Diporeia from three spatially distinct populations (Lake
   Michigan, Lake Superior, and Cayuga Lake), dreissenids from areas where
   they co-occur with Diporeia (Lake Michigan and Cayuga Lake), and
   Diporeia from Lake Michigan collected before and after dreissenid
   invasion (1986-2009). Our results suggest that dreissenids may affect
   resource use by Diporeia in areas of co-occurrence, but the extent to
   which those effects are positive or negative is unclear. Terrestrial
   inputs may provide an important subsidy for Diporeia populations in
   small systems but may not be substantial enough in the Great Lakes to
   ensure that both taxa thrive.",10.1139/cjfas-2013-0620,NA,,,,,,,,,,,,,,,,,,,
ZhiGang Mao and XiaoHong Gu and QingFei Zeng and Guoquan Pan,2014,"Seasonal and spatial variations of the food web structure in a shallow
   eutrophic lake assessed by stable isotope analysis",FISHERIES SCIENCE,"Stable isotope analysis was used to investigate seasonal and spatial
   variations of the food web structure in a large eutrophic lake ecosystem
   (Lake Taihu, China). Basal food sources, invertebrates and fish were
   sampled in two lake regions with different environmental conditions and
   spatial variations in the isotopic composition of lake food webs were
   found. Overall, more depleted delta C-13 and enriched delta N-15 isotope
   values of organic matter sources and consumers were found in the
   phytoplankton-dominated lake region than in the macrophyte-dominated
   region. Wide seasonal variations in the isotopic ratios were also
   observed in the lake biota, with a general trend towards enriched delta
   C-13 and delta N-15 values in summer and depleted values in winter. This
   pattern could be explained by a combination of environmental (e.g.,
   irradiance and nutrient inputs) and biotic (e.g., availability of food
   sources and plasticity in prey item choice) features. Results of isotope
   mass balance suggest that macrophytes provide some trophic support in
   the macrophyte-dominated area, but in both lake regions it is more
   likely that aquatic food webs are phytoplankton based rather than
   macrophyte based under eutrophic conditions.",10.1007/s12562-014-0771-5,"Food webs; Stable isotopes; Spatio-temporal variations; Eutrophication;
   Lake Taihu",,,,,,,,,,,,,,,,,,,
Steven C. Zeug and Annie Brodsky and Nina Kogut and A. Robin Stewart and Joseph E. Merz,2014,"Ancient fish and recent invaders: white sturgeon <i>Acipenser
   transmontanus</i> diet response to invasive-species-mediated changes in
   a benthic prey assemblage",MARINE ECOLOGY PROGRESS SERIES,"Invasive organisms can have significant impacts on native species, and
   the San Francisco Estuary (SFE), California, USA, is one of the world's
   most invaded estuaries. Decline of native white sturgeon Acipenser
   transmontanus abundance in the SFE has been acknowledged, but underlying
   mechanisms are poorly understood. Invasion by the overbite clam
   Potamocorbula amurensis has drastically altered the SFE benthic prey
   community, yet little is known about how this change has affected
   sturgeon diets. We investigated changes in the diet of white sturgeon
   following the overbite clam invasion and subsequent shift in the SFE
   benthic prey assemblage. Gut content analysis was used to compare white
   sturgeon prey composition and importance between the pre- and
   post-invasion periods. Additionally, stable isotope analysis was
   employed to estimate the assimilation of prey items to sturgeon biomass.
   Overbite clams dominated diets in the post-invasion period, accounting
   for 82 to 93\% of total volume. Stable isotope analysis confirmed the
   importance of this prey item, although their assimilated contribution to
   sturgeon biomass was estimated to be less (70 to 83\%) than gut contents
   indicated. The frequency of fish in white sturgeon guts increased in the
   post-invasion period, and isotope analysis indicated relatively large
   contributions of fish to sturgeon biomass (3.7 to 19\%). The trophic
   adaptability of white sturgeon has allowed them to exploit this new prey
   source (overbite clam). Future conservation and restoration efforts must
   consider a potentially destabilized food web given the large importance
   of a single prey item.",10.3354/meps11002,"Overbite clam; Potamocorbula amurensis; San Francisco Estuary; Stable
   isotope analysis; Gut content analysis; Food web; Mixing model;
   California",,,,,,,,,,,,,,,,,,,
